公司;年/月;季別;合併(Y/N);月份;幣別;  現金及約當現金;  透過損益按公允價值衡量之金融資產－流動;  透過其他綜合損益按公允價值衡量之金融資產－流動;  按攤銷後成本衡量之金融資產－流動;  避險之金融資產－流動;  合約資產－流動;  應收帳款及票據;  其他應收款;  資金貸予他人－流動;  存貨;  待出售非流動資產;  當期所得稅資產－流動;流動資產;  透過損益按公允價值衡量之金融資產－非流動;  透過其他綜合損益按公允價值衡量之金融資產－非流動;  按攤銷後成本衡量之金融資產－非流動;  避險之金融資產－非流動;  合約資產－非流動;  採權益法之長期股權投資;  預付投資款;  不動產廠房及設備;  商譽及無形資產合計;    遞延所得稅資產;  遞延資產合計;    使用權資產;    投資性不動產淨額;  其他非流動資產;非流動資產;資產總額;  短期借款;  應付商業本票∕承兌匯票;  透過損益按公允價值衡量之金融負債－流動;  避險之金融負債－流動;  按攤銷後成本衡量之金融負債－流動;  合約負債－流動;  應付帳款及票據;  其他應付款;  當期所得稅負債;  負債準備－流動;  與待出售非流動資產直接相關之負債;  租賃負債─流動;  一年內到期長期負債;  特別股負債－流動;流動負債;  透過損益按公允價值衡量之金融負債－非流動;  避險之金融負債－非流動;  按攤銷後成本衡量之金融負債－非流動;  合約負債－非流動;  特別股負債－非流動;  應付公司債－非流動;  銀行借款－非流動;  其他長期借款－非流動;  租賃負債－非流動;  負債準備－非流動;  遞延貸項;  應計退休金負債;  遞延所得稅;非流動負債;負債總額;    普通股股本;    特別股股本;    預收股款;    待分配股票股利;    換股權利證書;  股本;  資本公積合計;    法定盈餘公積;    特別盈餘公積;    未分配盈餘;  保留盈餘;  其他權益;  庫藏股票帳面值;母公司股東權益合計;共同控制下前手權益;合併前非屬共同控制股權;非控制權益;股東權益總額;負債及股東權益總額
2603 長榮;2023/09;3;Y;09;NTD;217.154.216;4.981;0;32.714.930;5.158.324;1.767.840;20.610.821;1.318.868;-;12.082.846;0;644.591;297.695.775;0;1.987.834;284.387;0;0;37.395.544;0;269.431.357;1.241.600;869.535;869.535;131.261.559;7.450.188;173.790.108;485.000.365;782.696.140;147.389;0;0;1.928.169;0;7.439.480;48.492.549;23.981.671;14.986.343;0;0;13.819.170;0;0;123.591.085;0;14.400.303;0;0;0;0;46.667.184;0;103.009.397;0;0;0;2.946.892;172.655.192;296.246.277;21.164.201;0;0;0;0;21.164.201;16.060.481;65.489.748;0;317.255.363;382.745.111;32.241.773;0;452.211.566;0;0;34.238.297;486.449.863;782.696.140
2609 陽明;2023/09;3;Y;09;NTD;145.478.164;2.030.237;0;58.881.280;24.196.046;2.287.059;8.044.354;0;-;4.610.857;0;0;248.960.003;351.072;537.955;2.704.282;0;0;8.782.170;0;78.109.814;145.117;940.109;940.109;61.878.100;7.146.807;74.999.136;166.569.655;415.529.658;2.015.000;1.096.921;0;11.448.647;0;820.606;18.739.073;5.550.448;8.916.214;0;0;5.032.270;2.580.801;0;57.208.920;0;27.154.648;0;0;0;8.360.448;339.510;0;26.750.821;5.328;0;1.728.727;9.713.487;75.353.090;132.562.010;34.921.043;0;0;0;0;34.921.043;27.975.030;34.991.933;3.988.772;177.331.957;216.312.662;3.066.043;0;282.274.778;0;0;692.870;282.967.648;415.529.658
2603 長榮;2023/06;2;Y;06;NTD;374.340.928;0;0;16.736.151;6.126.584;1.393.404;20.439.360;2.234.080;1.297.948;791.465;0;545.409;436.841.935;0;1.829.431;284.092;0;0;43.890.736;0;229.050.547;1.273.491;862.807;862.807;131.437.880;6.689.149;170.914.251;448.105.355;884.947.290;10.075;0;4.483;1.851.130;0;6.136.236;45.952.128;171.149.402;25.248.182;0;0;14.106.606;10.002.708;0;275.682.559;0;14.341.140;0;0;0;0;32.304.685;0;102.620.423;0;0;4.242.976;3.418.673;157.792.455;433.475.014;21.164.201;0;0;0;0;21.164.201;16.058.024;65.489.748;0;295.346.759;360.836.507;20.552.765;0;418.611.497;0;0;32.860.779;451.472.276;884.947.290
2609 陽明;2023/06;2;Y;06;NTD;115.512.795;8.941.423;0;147.355.887;29.185.965;1.777.835;9.181.732;448.987;0;0;0;0;319.456.455;353.987;546.211;2.579.696;0;0;8.598.236;0;73.040.666;151.861;676.799;676.799;66.988.071;7.146.807;74.503.968;160.451.424;479.907.879;2.040.000;1.098.641;0;8.669.467;0;560.398;16.161.959;75.630.422;6.890.165;0;0;4.987.723;2.573.408;0;119.556.270;0;32.928.652;0;0;0;8.341.332;363.443;0;26.995.128;5.141;0;1.772.151;10.583.281;82.312.439;201.868.709;34.921.043;0;0;0;0;34.921.043;27.975.030;34.991.933;3.988.772;174.525.537;213.506.242;879.823;0;277.282.138;0;0;757.032;278.039.170;479.907.879
2603 長榮;2023/03;1;Y;03;NTD;407.558.951;0;0;28.748.784;4.695.526;1.112.201;21.963.385;2.308.371;1.427.916;552.566;0;367.254;480.592.491;0;1.589.433;542.155;1.902.976;0;41.246.019;0;222.951.746;1.328.192;872.241;872.241;104.277.134;6.675.204;140.684.076;411.116.838;891.709.329;9.734;0;11.456;1.833.386;0;6.514.797;46.461.507;23.745.626;69.486.066;0;0;11.080.528;7.260.462;0;168.925.473;0;14.482.816;0;0;0;4.819.052;32.504.252;0;78.017.197;0;0;4.255.546;2.642.177;137.627.077;306.552.550;21.164.201;0;0;0;0;21.164.201;16.056.176;32.019.129;1.145.770;470.603.257;503.768.156;12.787.352;0;553.775.885;0;0;31.380.894;585.156.779;891.709.329
2609 陽明;2023/03;1;Y;03;NTD;113.387.531;5.076.347;0;172.041.548;30.450.000;1.367.771;8.800.870;258.312;0;0;0;0;338.822.282;349.174;499.586;2.520.148;0;0;8.606.770;0;74.203.624;141.302;884.170;884.170;70.186.579;7.146.807;77.795.071;164.999.845;503.822.127;2.180.000;1.099.216;0;8.427.058;0;545.344;14.414.417;7.139.273;31.092.647;2.562;0;5.027.540;2.567.036;0;73.452.471;0;34.350.466;0;0;0;8.370.336;265.021;0;27.514.143;5.101;0;1.807.092;10.058.850;83.757.239;157.209.710;34.921.043;0;0;0;0;34.921.043;27.975.030;16.907.064;3.713.230;262.858.379;283.478.673;-578.992;0;345.795.754;0;0;816.663;346.612.417;503.822.127
2603 長榮;2022/12;4;Y;12;NTD;391.860.706;0;0;42.965.536;6.543.287;1.748.928;25.800.927;1.439.613;2.328.519;609.788;0;230.283;483.935.294;0;1.581.495;509.667;1.918.021;0;43.648.146;0;211.064.739;1.340.558;849.457;849.457;105.236.115;6.353.694;142.664.680;403.576.763;887.512.057;9.843;0;10.460;1.821.342;0;7.458.705;46.227.705;26.850.536;60.213.263;0;0;11.152.946;6.819.851;0;164.879.242;0;15.054.334;0;0;0;4.806.154;33.373.936;0;78.762.711;0;0;4.304.408;2.844.110;140.082.780;304.962.022;21.164.201;0;0;0;0;21.164.201;15.968.043;32.019.129;1.145.770;465.562.042;498.726.941;16.354.844;0;552.214.029;0;0;30.336.006;582.550.035;887.512.057
2609 陽明;2022/12;4;Y;12;NTD;149.427.959;4.302.945;0;133.484.952;30.710.000;1.853.463;11.408.798;99.182;0;0;0;110.543;338.579.023;353.165;506.847;2.138.776;0;0;8.742.640;0;75.777.886;133.157;784.153;784.153;73.362.475;7.146.807;81.133.133;169.569.757;508.148.780;2.430.000;1.098.548;0;8.371.948;0;710.771;15.954.014;8.651.744;29.771.775;0;0;5.157.412;2.560.364;0;75.930.215;0;36.816.306;0;0;0;8.351.220;305.070;0;28.824.524;3.559;0;1.971.067;10.787.845;88.432.602;164.362.817;34.921.043;0;0;0;0;34.921.043;27.975.030;16.907.064;3.713.230;259.456.948;280.077.242;-13.577;0;342.959.738;0;0;826.225;343.785.963;508.148.780
2603 長榮;2022/09;3;Y;09;NTD;391.797.771;0;0;16.036.510;9.560.974;3.536.071;39.095.345;925.332;1.739.959;706.025;0;561.197;476.148.131;0;1.766.928;469.165;3.309.546;0;42.985.081;0;206.737.021;1.441.822;905.493;905.493;110.131.683;6.494.774;147.809.501;405.424.557;881.572.688;10.245;0;27.396;1.920.845;0;15.633.678;37.459.210;22.917.673;52.421.406;0;0;11.815.680;7.679.600;0;157.706.420;0;16.056.341;0;0;0;4.793.291;36.651.383;0;82.222.694;0;0;4.572.910;4.199.319;149.372.583;307.079.003;21.164.201;0;0;0;0;21.164.201;15.960.370;32.019.129;1.145.770;435.205.548;468.370.447;33.909.525;0;539.404.543;0;0;35.089.142;574.493.685;881.572.688
2609 陽明;2022/09;3;Y;09;NTD;181.880.167;66.405;0;80.741.366;35.395.376;3.984.410;23.496.758;143.284;0;0;0;0;334.464.072;368.225;504.164;832.043;0;0;10.877.210;0;74.692.551;126.287;1.067.780;1.067.780;73.113.325;7.039.177;80.782.081;169.250.341;503.714.413;2.170.000;899.371;5.850;8.835.891;0;644.860;22.854.856;8.271.830;22.845.404;0;0;5.439.415;149.170;0;73.559.897;0;36.306.682;0;0;0;10.850.892;1.376.104;0;31.013.725;1.458;0;2.321.138;15.289.755;98.133.297;171.693.194;34.921.043;0;0;0;0;34.921.043;27.975.030;16.907.064;3.713.230;244.458.369;265.078.663;3.131.822;0;331.106.558;0;0;914.661;332.021.219;503.714.413
