公司;年/月;季別;合併(Y/N);月份;幣別;營業收入淨額;營業成本;營業毛利;聯屬公司已（未）實現銷貨利益;已實現銷貨毛利;營業費用;  研究發展費;  預期信用減損（損失）利益－營業費用;其他收益及費損淨額;營業利益;  利息收入;其他收入;其他利益及損失;財務成本;採權益法之關聯企業及合資損益之份額;預期信用減損（損失）利益;除列按攤銷後成本衡量金融資產淨損益;金融資產重分類淨損益;營業外收入及支出－其他;營業外收入及支出;稅前淨利;所得稅費用;繼續營業單位損益;停業單位損益;合併前非屬共同控制股權損益;其他損益調整項－非常項目及累計影響數;合併總損益;  不重分類至損益之項目－OCI;  後續可能重分類至損益之項目－OCI;  合併前非屬共同控制股權綜合損益淨額－OCI;其他綜合損益－OCI;本期綜合損益總額;歸屬母公司淨利（損）;歸屬非控制權益淨利（損）;歸屬共同控制下前手權益淨利（損）;綜合損益歸屬母公司;綜合損益歸屬非控制權益;綜合損益歸屬共同控制下前手權益;每股盈餘;加權平均股數;發放特別股股息;稀釋稅後淨利;每股盈餘－完全稀釋;加權平均股數－稀釋;稅前息前淨利;稅前息前折舊前淨利;常續性稅後淨利
2603 長榮;2023/09;3;Y;09;NTD;207.023.679;166.018.073;41.005.606;15.742;41.021.348;12.050.160;0;5.534;1.057.990;30.029.178;-;17.008.445;8.948.682;3.593.989;5.246.674;0;0;0;0;27.609.812;57.638.990;21.789.488;35.849.502;0;0;0;35.849.502;510.272;17.089.467;0;17.599.739;53.449.241;32.043.568;3.805.934;0;48.054.505;5.394.736;0;15,14;2.116.420;0;-;14,81;-;61.232.979;85.899.353;35.849.502
2609 陽明;2023/09;3;Y;09;NTD;107.900.924;100.323.390;7.577.534;0;7.577.534;6.072.832;0;-604;180.331;1.685.033;-;9.277.569;4.078.844;1.926.862;551.728;0;0;0;0;11.981.279;13.666.312;7.337.640;6.328.672;0;0;0;6.328.672;-76.632;3.497.622;0;3.420.990;9.749.662;6.077.506;251.166;0;9.534.650;215.012;0;1,74;3.492.104;0;-;1,73;-;15.593.174;31.077.170;6.328.672
2603 長榮;2023/06;2;Y;06;NTD;134.211.265;105.614.607;28.596.658;10.495;28.607.153;7.970.583;0;-290;632.363;21.268.933;7.658.576;8.019.471;1.694.429;2.143.993;3.604.180;0;0;0;0;11.174.087;32.443.020;19.648.324;12.794.696;0;0;0;12.794.696;894.081;3.889.347;0;4.783.428;17.578.124;10.134.964;2.659.732;0;14.456.893;3.121.231;0;4,79;2.116.420;0;10.160.794;4,69;2.165.987;34.587.013;50.106.565;12.546.750
2609 陽明;2023/06;2;Y;06;NTD;71.999.811;65.033.000;6.966.811;0;6.966.811;4.045.483;0;-1.287;120.368;3.041.696;6.256.839;6.300.432;2.038.630;1.242.935;242.237;0;0;0;0;7.338.364;10.380.060;6.931.475;3.448.585;0;0;0;3.448.585;51.141;776.936;0;828.077;4.276.662;3.271.086;177.499;0;4.164.486;112.176;0;0,94;3.492.104;0;3.271.086;0,93;3.506.690;11.622.995;21.979.730;3.346.684
2603 長榮;2023/03;1;Y;03;NTD;66.826.650;52.025.224;14.801.426;5.248;14.806.674;3.937.901;0;6.298;268.483;11.137.256;3.539.436;3.649.545;1.085.083;942.418;1.299.217;0;0;0;0;5.091.427;16.228.683;9.894.802;6.333.881;0;0;0;6.333.881;16.636;-3.737.047;0;-3.720.411;2.613.470;5.042.719;1.291.162;0;1.473.723;1.139.747;0;2,38;2.116.420;0;5.055.617;2,36;2.143.110;17.171.101;24.708.353;6.093.693
2609 陽明;2023/03;1;Y;03;NTD;36.953.438;33.536.911;3.416.527;0;3.416.527;1.955.646;0;-8.594;8.933;1.469.814;3.137.257;3.157.898;137.087;629.803;90.526;0;0;0;0;2.755.708;4.225.522;763.822;3.461.700;0;0;0;3.461.700;16.150;-586.113;0;-569.963;2.891.737;3.401.431;60.269;0;2.836.016;55.721;0;0,97;3.492.104;0;3.401.431;0,97;3.518.893;4.855.325;10.029.533;3.450.185
2603 長榮;2022/12;4;Y;12;NTD;627.283.761;228.841.382;398.442.379;7.761;398.450.140;24.764.546;0;1.955;1.122.717;374.808.311;6.379.814;6.991.520;11.845.235;3.255.348;9.034.760;0;0;0;0;24.616.167;399.424.478;53.251.513;346.172.965;0;0;0;346.172.965;-1.004.286;21.588.212;0;20.583.926;366.756.891;334.200.661;11.972.304;0;352.206.802;14.550.089;0;87,07;3.838.511;0;334.251.944;86,22;3.876.511;402.679.826;430.438.616;346.188.576
2609 陽明;2022/12;4;Y;12;NTD;375.899.874;145.729.755;230.170.119;0;230.170.119;11.375.818;0;-78.035;1.903.866;220.698.167;4.032.635;4.119.435;9.967.164;2.397.791;1.233.739;0;0;0;0;12.922.547;233.620.714;52.605.145;181.015.569;0;0;0;181.015.569;-125.701;-1.386.782;0;-1.512.483;179.503.086;180.591.942;423.627;0;179.110.549;392.537;0;51,71;3.492.104;0;180.591.942;51,15;3.530.836;236.018.505;256.096.236;182.816.788
2603 長榮;2022/09;3;Y;09;NTD;516.257.233;163.346.284;352.910.949;2.513;352.913.462;11.795.955;0;-53;864.969;341.982.476;2.944.746;3.378.921;8.947.032;2.335.155;8.980.909;0;0;0;0;18.971.707;360.954.183;46.270.951;314.683.232;0;0;0;314.683.232;-1.464.770;40.580.439;0;39.115.669;353.798.901;304.350.822;10.332.410;0;339.404.989;14.393.912;0;68,88;4.418.850;0;304.389.242;68,3;4.456.961;363.289.338;383.585.782;314.718.232
2609 陽明;2022/09;3;Y;09;NTD;315.964.481;107.919.284;208.045.197;0;208.045.197;8.244.919;0;-1.748;1.468.973;201.269.251;1.795.492;1.861.182;12.017.884;1.728.758;1.300.583;0;0;0;0;13.450.891;214.720.142;48.526.209;166.193.933;0;0;0;166.193.933;-438.089;1.813.227;0;1.375.138;167.569.071;165.858.363;335.570;0;167.257.369;311.702;0;47,5;3.492.104;0;165.858.363;46,97;3.531.136;216.448.900;231.237.949;166.216.630
